DNN-1,DNN-2,Rate,Processors,Memory,Response Time,error_percentage,Baseline-Response,Response Time Inflation,fat_response_time,fat_inflation,Baseline-Sum,Baseline-DNN-2,sum_of_fat_cohost_times,SLA_Level_1,SLA_Level_2,SLA_Level_3,All_SLA_Levels_Violated,sla_level_1_fat,sla_level_2_fat,sla_level_3_fat,all_fat_sla_levels_violated,UL-1,UL-2,SLA_1_Diff,SLA_2_Diff,SLA_3_Diff,SLA1<30,SLA2<30%,SLA3<30%
bert,dbert,2,6,6,556.4,0,779.5,0.713790892,1229.1,1.576779987,1067.8,288.3,1865,0,0,0,1,1,1,1,0,3,1,0.820273185,0.64054637,0.281092739,0,0,1
bert,dbert,4,6,6,94.7,0,78.1,1.212548015,89.2,1.14212548,308,229.9,268.2,1,1,1,0,1,1,1,0,3,1,0.055966209,1.111932418,3.223864836,1,0,0
bert,dbert,6,6,6,113.1,0,85.6,1.321261682,127.1,1.484813084,374.5,288.9,356,0,1,1,0,1,1,1,0,3,1,0.115826702,0.768346596,2.536693192,1,0,0
bert,dbert,8,6,6,134.2,0,90.8,1.477973568,208.1,2.29185022,512.1,421.3,548.6,0,1,1,0,1,1,1,0,3,1,0.254843517,0.490312966,1.980625931,1,0,0
bert,dbert,10,6,6,146.7,0,99.2,1.478830645,1293,13.03427419,889,789.8,2807.3,0,1,1,0,1,1,1,0,3,1,0.318336742,0.363326517,1.726653033,0,0,0
bert,dbert,12,6,6,162.7,0,108.3,1.502308403,6319.4,58.35087719,4627.4,4519.1,13333,0,1,1,0,0,0,1,0,3,1,0.38537185,0.2292563,1.4585126,0,1,0
bert,dbert,14,6,6,176,0,116.3,1.513327601,12570.5,108.0868444,10597.6,10481.3,26317.1,0,1,1,0,0,0,0,1,3,1,0.431818182,0.136363636,1.272727273,0,1,0
bert,dbert,16,6,6,191.4,0,124.3,1.539823009,20018.3,161.0482703,14562.6,14438.3,41867.1,0,1,1,0,0,0,0,1,3,1,0.47753396,0.044932079,1.089864159,0,1,0
bert,dbert,18,6,6,221.4,0,141.9,1.5602537,22909.2,161.4460888,19763.1,19621.2,48748.2,0,0,1,0,0,0,0,1,3,1,0.548328817,0.096657633,0.806684734,0,1,0
bert,dbert,20,6,6,274.8,0,164.1,1.674588665,27944.3,170.2882389,26275.7,26111.6,62060.4,0,0,1,0,0,0,0,1,3,1,0.636098981,0.272197962,0.455604076,0,1,0
bert,dbert,2,8,8,483.2,0,1272.2,0.379814495,884,0.694859299,1764.7,492.5,1270.7,0,0,0,1,1,1,1,0,3,1,0.793046358,0.586092715,0.17218543,0,0,1
bert,dbert,4,8,8,84.6,0,70.5,1.2,69.3,0.982978723,246.9,176.4,204.5,1,1,1,0,1,1,1,0,3,1,0.182033097,1.364066194,3.728132388,1,0,0
bert,dbert,6,8,8,104.8,0,78,1.343589744,88.7,1.137179487,288.9,210.9,255.5,0,1,1,0,1,1,1,0,3,1,0.045801527,0.908396947,2.816793893,1,0,0
bert,dbert,8,8,8,123.2,0,83.1,1.482551143,109.1,1.312876053,348,264.9,316.9,0,1,1,0,1,1,1,0,3,1,0.188311688,0.623376623,2.246753247,1,0,0
bert,dbert,10,8,8,164.5,0,88.2,1.865079365,149.4,1.693877551,441.2,353,416.6,0,1,1,0,1,1,1,0,3,1,0.392097264,0.215805471,1.431610942,0,1,0
bert,dbert,12,8,8,192.2,0,94.8,2.02742616,451.7,4.764767932,607.5,512.7,1095.6,0,1,1,0,1,1,1,0,3,1,0.479708637,0.040582726,1.081165453,0,1,0
bert,dbert,14,8,8,215.9,0,99.6,2.167670683,3839.3,38.54718876,1010.7,911.1,8213.5,0,0,1,0,0,1,1,0,3,1,0.536822603,0.073645206,0.852709588,0,1,0
bert,dbert,16,8,8,239.8,0,108,2.22037037,7955.2,73.65925926,3934.4,3826.4,16712.8,0,0,1,0,0,0,1,0,3,1,0.582985822,0.165971643,0.668056714,0,1,0
bert,dbert,18,8,8,266.7,0,125,2.1336,14684.2,117.4736,7704.8,7579.8,29836.6,0,0,1,0,0,0,0,1,3,1,0.625046869,0.250093738,0.499812523,0,1,0
bert,dbert,20,8,8,300.4,0,139.7,2.150322119,19857.6,142.1445956,12326.4,12186.7,40080,0,0,1,0,0,0,0,1,3,1,0.667110519,0.334221039,0.331557923,0,0,0
bert,dbert,2,12,12,871.4,0,747.6,1.165596576,1180,1.578384163,1211.9,464.3,1548.1,0,0,0,1,1,1,1,0,3,1,0.885242139,0.770484278,0.540968556,0,0,0
bert,dbert,4,12,12,78.1,0,60.7,1.286655684,68.8,1.133443163,218.3,157.6,194.8,1,1,1,0,1,1,1,0,3,1,0.280409731,1.560819462,4.121638924,1,0,0
bert,dbert,6,12,12,95.2,0,65.1,1.462365591,81.7,1.25499232,245.1,180,231.7,1,1,1,0,1,1,1,0,3,1,0.050420168,1.100840336,3.201680672,1,0,0
bert,dbert,8,12,12,113.8,0,66.2,1.719033233,99.5,1.503021148,276,209.8,287.3,0,1,1,0,1,1,1,0,3,1,0.121265378,0.757469244,2.514938489,1,0,0
bert,dbert,10,12,12,158.9,0,71.6,2.219273743,134.3,1.875698324,321,249.4,374.3,0,1,1,0,1,1,1,0,3,1,0.370673379,0.258653241,1.517306482,0,1,0
bert,dbert,12,12,12,208,0,75.6,2.751322751,272.3,3.601851852,396.5,320.9,739.4,0,0,1,0,1,1,1,0,3,1,0.519230769,0.038461538,0.923076923,0,1,0
bert,dbert,14,12,12,263.1,0,80.7,3.260223048,2779.1,34.43742255,517.2,436.5,5962.6,0,0,1,0,0,1,1,0,3,1,0.619916382,0.239832763,0.520334474,0,1,0
bert,dbert,16,12,12,354.4,0,85.4,4.149882904,8817,103.2435597,779.7,694.3,18035.2,0,0,1,0,0,0,1,0,3,1,0.717832957,0.435665914,0.128668172,0,0,1
bert,dbert,18,12,12,481,0,91.7,5.245365322,13307.2,145.1166848,1260.6,1168.9,27000.6,0,0,0,1,0,0,0,1,3,1,0.792099792,0.584199584,0.168399168,0,0,1
bert,dbert,20,12,12,609.4,0,102.7,5.933787731,15943.5,155.2434275,3414.6,3311.9,32151.7,0,0,0,1,0,0,0,1,3,1,0.835904168,0.671808336,0.343616672,0,0,0
bert,mnist,4,6,6,78.6,0,78.1,1.006402049,65,0.832266325,80.8,2.7,68.1,1,1,1,0,1,1,1,0,3,4,0.272264631,1.544529262,4.089058524,1,0,0
bert,mnist,6,6,6,85.6,0,85.6,1,67.4,0.787383178,88.3,2.7,70.5,1,1,1,0,1,1,1,0,3,4,0.168224299,1.336448598,3.672897196,1,0,0
bert,mnist,8,6,6,92,0,90.8,1.013215859,68.4,0.753303965,93.3,2.5,71.5,1,1,1,0,1,1,1,0,3,4,0.086956522,1.173913043,3.347826087,1,0,0
bert,mnist,10,6,6,98,0,99.2,0.987903226,72.2,0.727822581,101.9,2.7,75.3,1,1,1,0,1,1,1,0,3,4,0.020408163,1.040816327,3.081632653,1,0,0
bert,mnist,12,6,6,107.9,0,108.3,0.996306556,76,0.701754386,110.8,2.5,79.3,0,1,1,0,1,1,1,0,3,4,0.073215941,0.853568119,2.707136237,1,0,0
bert,mnist,14,6,6,117.6,0,116.3,1.011177988,81,0.696474635,118.8,2.5,84.6,0,1,1,0,1,1,1,0,3,4,0.149659864,0.700680272,2.401360544,1,0,0
bert,mnist,16,6,6,126.9,0,124.3,1.020917136,88.5,0.711987128,126.8,2.5,92.2,0,1,1,0,1,1,1,0,3,4,0.211977935,0.576044129,2.152088258,1,0,0
bert,mnist,18,6,6,146.8,0,141.9,1.03453136,103.4,0.728682171,144.4,2.5,109.9,0,1,1,0,1,1,1,0,3,4,0.31880109,0.36239782,1.72479564,0,0,0
bert,mnist,20,6,6,168.4,0,164.1,1.026203534,129.2,0.787324802,166.6,2.5,143,0,1,1,0,1,1,1,0,3,4,0.406175772,0.187648456,1.375296912,0,1,0
bert,mnist,4,8,8,74.5,0,70.5,1.056737589,58.3,0.826950355,73.1,2.6,61.2,1,1,1,0,1,1,1,0,3,4,0.342281879,1.684563758,4.369127517,0,0,0
bert,mnist,6,8,8,79.6,0,78,1.020512821,61.5,0.788461539,80.6,2.6,64.6,1,1,1,0,1,1,1,0,3,4,0.256281407,1.512562814,4.025125628,1,0,0
bert,mnist,8,8,8,84.7,0,83.1,1.019253911,63.1,0.759326113,85.6,2.5,66.2,1,1,1,0,1,1,1,0,3,4,0.180637544,1.361275089,3.722550177,1,0,0
bert,mnist,10,8,8,87,0,88.2,0.986394558,68.4,0.775510204,90.8,2.6,71.7,1,1,1,0,1,1,1,0,3,4,0.149425287,1.298850575,3.597701149,1,0,0
bert,mnist,12,8,8,93.1,0,94.8,0.982067511,72.4,0.76371308,97.2,2.4,75.8,1,1,1,0,1,1,1,0,3,4,0.074113856,1.148227712,3.296455424,1,0,0
bert,mnist,14,8,8,100.8,0,99.6,1.012048193,79,0.793172691,101.9,2.3,83.1,0,1,1,0,1,1,1,0,3,4,0.007936508,0.984126984,2.968253968,1,0,0
bert,mnist,16,8,8,109.3,0,108,1.012037037,86.8,0.803703704,110.3,2.3,90.5,0,1,1,0,1,1,1,0,3,4,0.085086917,0.829826167,2.659652333,1,0,0
bert,mnist,18,8,8,126.3,0,125,1.0104,95.2,0.7616,127.3,2.3,99.7,0,1,1,0,1,1,1,0,3,4,0.208234363,0.583531275,2.167062549,1,0,0
bert,mnist,20,8,8,146.8,0,139.7,1.050823193,105.3,0.753758053,142.1,2.4,110.5,0,1,1,0,1,1,1,0,3,4,0.31880109,0.36239782,1.72479564,0,0,0
bert,mnist,2,12,12,1224.4,0,747.6,1.637774211,536.9,0.718164794,751.6,4,541.1,0,0,0,1,1,1,1,0,3,4,0.918327344,0.836654688,0.673309376,0,0,0
bert,mnist,4,12,12,61.7,0,60.7,1.016474465,57.6,0.94892916,63.1,2.4,60.7,1,1,1,0,1,1,1,0,3,4,0.620745543,2.241491086,5.482982172,0,0,0
bert,mnist,6,12,12,64.5,0,65.1,0.99078341,57,0.875576037,67.5,2.4,60.1,1,1,1,0,1,1,1,0,3,4,0.550387597,2.100775194,5.201550388,0,0,0
